ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
169;0.005;0.063;5740;1147974
170;0.005;0.063;6078;1215552
171;0.005;0.063;6276;1255123
172;0.005;0.063;6421;1284165
173;0.005;0.063;6511;1302215
174;0.005;0.063;6579;1315776
175;0.005;0.063;6621;1324180
176;0.005;0.063;6684;1336763
177;0.005;0.063;6753;1350539
178;0.005;0.063;6835;1366954
179;0.005;0.063;6856;1371173
180;0.005;0.063;6852;1370341
181;0.01;0.063;7120;712038
182;0.01;0.063;8985;898502
183;0.01;0.063;9360;935999
184;0.01;0.063;9639;963926
185;0.01;0.063;9825;982522
186;0.01;0.063;9949;994942
187;0.01;0.063;10037;1003698
188;0.01;0.063;10282;1028168
189;0.01;0.063;10326;1032587
190;0.01;0.063;10528;1052788
191;0.01;0.063;10084;1008400
192;0.01;0.063;10670;1067006
193;0.015;0.063;10123;674857
194;0.015;0.063;9302;620116
195;0.015;0.063;10132;675496
196;0.015;0.063;10692;712770
197;0.015;0.063;11150;743351
198;0.015;0.063;11351;756728
199;0.015;0.063;11520;768011
200;0.015;0.063;11783;785551
201;0.015;0.063;12052;803441
202;0.015;0.063;14288;952519
203;0.015;0.063;12721;848057
204;0.015;0.063;12720;848011
205;0.02;0.063;9050;452478
206;0.02;0.063;10407;520347
207;0.02;0.063;11383;569138
208;0.02;0.063;12004;600210
209;0.02;0.063;12555;627740
210;0.02;0.063;12781;639060
211;0.02;0.063;13000;650005
212;0.02;0.063;13367;668335
213;0.02;0.063;13723;686162
214;0.02;0.063;;
215;0.02;0.063;14579;728954
216;0.02;0.063;14618;730905
217;0.025;0.063;9699;387945
218;0.025;0.063;11219;448746
219;0.025;0.063;12283;491303
220;0.025;0.063;12987;519473
221;0.025;0.063;13621;544834
222;0.025;0.063;13852;554100
223;0.025;0.063;14119;564769
224;0.025;0.063;14530;581198
225;0.025;0.063;14970;598803
226;0.025;0.063;15589;623561
227;0.025;0.063;16013;640518
228;0.025;0.063;16134;645371
229;0.03;0.063;10243;341424
230;0.03;0.063;11913;397093
231;0.03;0.063;13026;434194
232;0.03;0.063;13847;461572
233;0.03;0.063;14487;482917
234;0.03;0.063;14690;489653
235;0.03;0.063;14957;498566
236;0.03;0.063;15399;513301
237;0.03;0.063;15894;529800
238;0.03;0.063;16635;554506
239;0.03;0.063;17212;573746
240;0.03;0.063;17459;581959
241;0.035;0.063;10619;303389
242;0.035;0.063;12382;353777
243;0.035;0.063;13592;388330
244;0.035;0.063;14326;409316
245;0.035;0.063;15059;430263
246;0.035;0.063;15355;438724
247;0.035;0.063;15662;447496
248;0.035;0.063;16226;463588
249;0.035;0.063;16623;474956
250;0.035;0.063;17540;501153
251;0.035;0.063;18198;519931
252;0.035;0.063;18385;525283
505;0.005;0.04;5446;1089129
506;0.005;0.04;5607;1121348
507;0.005;0.04;5712;1142353
508;0.005;0.04;5784;1156770
